",""auroch(9).s1"",""auroch(9).s2"",""auroch(9).s3"",""aurochs T"",""C1-1"",""C1-2"",""C101_aurochs"",""C102_aurochs"",""C2-1"",""C2-2"",""C3-1"",""C3-2"",""C4-1"",""C4-2"",""C5-1"",""C5-2"",""C6-1"",""C6-2"",""C91_aurochs"",""C92_aurochs"",""Wa12_aurochs"",""Wa5_aurochs"",""B1-1"",""B1-2"",""B2-1"",""B2-2"",""B3-1"",""B3-2"",""B4-1"",""B4-2"",""B5-1"",""B5-2"",""B6-1"",""B6-2"",""boeuf romain"",""boeuf_crane_act6.s1"",""boeuf_crane_act6.s2"",""boeuf_crane_act6.s3"",""boeuf_etui_corne_corne_act9.s1"",""boeuf_etui_corne_corne_act9.s2"",""boeuf_etui_corne_corne_act9.s3"",""boeuf_etui_corne_sabot_act3.s1"",""boeuf_etui_corne_sabot_act3.s2"",""boeuf_etui_corne_sabot_act3.s3"",""boeuf-tourcoing-01205"",""boeuf-waziers-2280"",""boeuf-waziers-2367"",""boeuf.s1"",""boeuf.s2"",""boeuf.s3"",""boeuf(2).s1"",""boeuf(2).s2"",""boeuf(2).s3"",""boeuf(8).s1"",""boeuf(8).s2"",""boeuf(8).s3"",""boeuf1"",""boeuf2"",""boeuf2.s1"",""boeuf2.s2"",""boeuf2.s3"",""boeuf257"""
"1760.63504,NA,NA,NA,NA,NA,""399562"",NA,NA,""384440"",""466202"",""467407"",""542020"",""1157866"",""680530"",""589353"",""520421"",""684709"",""689902"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1764.79465,NA,NA,NA,NA,""1596232"",""1802338"",NA,NA,""3041552"",""2868461"",""4878730"",""5501036"",""5009499"",""2845563"",""8923641"",""8899784"",""7397667"",""8259400"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1768.83069,NA,NA,NA,NA,""1050597"",""1022575"",NA,NA,""1020275"",""1146590"",""1927850"",""1986079"",""1260110"",""674567"",""2355467"",""2196990"",""1219741"",""1588483"",NA,""1568403"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1771.73528,NA,NA,NA,NA,""1601929"",""1486282"",NA,NA,""2963560"",""3473935"",""4136116"",""4566798"",""5049267"",""2900927"",""5894670"",""5311910"",""4820016"",""5621065"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1784.82254,NA,NA,NA,NA,""2949699"",""2967059"",NA,NA,""3002611"",""3036087"",""5295702"",""5121088"",""3339431"",""1965846"",""5800494"",""5798106"",""3579945"",""4286617"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1027700"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1800.81743,NA,NA,NA,NA,""2913252"",""2980943"",NA,NA,""3099553"",""3097710"",""5038496"",""5530488"",""3785310"",""2384107"",""5452077"",""5186140"",""3914638"",""4230332"",NA,NA,NA,NA,NA,NA,""210225"",""275007"",""282302"",""263153"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1804.93096,""7816432"",""6268901"",""6477030"",""4327913"",NA,NA,""13550089"",""7923155"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""4224640"",NA,""13154031"",""794735"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""9103184"",""23046596"",""23048060"",""23414138"",""2004359"",""2201197"",""2904511"",NA,NA,NA,""29797090"",""42533956"",NA,""12606313"",""11396008"",""7492784"",""7615685"",""3902283"",""6504191"",""11521136"",""11848777"",""10053180"",""10578049"",""12751115"",""23894924"",""20756584"",""22858212"",""10411123"""
"1817.83131,NA,NA,NA,NA,""895834"",""625164"",NA,NA,""561419"",""734121"",""1172728"",""1242420"",""2336700"",""1473961"",""1161617"",""1222541"",""1822740"",""2082671"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1832.86091,""4183909"",""3117929"",""3563054"",""607306"",NA,NA,""2002743"",""1034949"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""2815046"",NA,""8461856"",""3568248"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""4408153"",""3660140"",""3682736"",""4182350"",NA,NA,NA,NA,NA,NA,""7415999"",""9966575"",NA,""6008252"",""5015759"",""3119548"",""2465007"",""1399873"",""2234232"",""7531885"",""7188305"",""5909151"",""2887073"",""3360666"",""7872573"",""6706773"",""7533044"",""1599972"""
"1841.82874,NA,NA,NA,NA,""1533213"",""1216033"",NA,NA,""1438390"",""1862262"",""2520518"",""2621429"",""4170239"",""2696065"",""2805912"",""2592915"",""3684826"",""4144201"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1848.85632,""2255649"",""1970298"",""2040219"",NA,NA,NA,""1154719"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1785353"",NA,""3238707"",""1237975"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""2041655"",""8107375"",""8065074"",""8490548"",NA,NA,NA,NA,NA,NA,""3097138"",""6749603"",NA,""3086907"",""2700995"",""1923298"",""866436"",""499486"",""875777"",""3761833"",""4128251"",""3022071"",""849269"",NA,""4036892"",""3631396"",""3868041"",""822229"""
"1863.8084,NA,NA,NA,NA,""1685105"",""1776574"",NA,NA,""510983"",""579038"",""435107"",""534687"",""786309"",NA,""328811"",""270857"",""481194"",""480546"",NA,NA,NA,NA,NA,""277179"",""143743"",NA,""224167"",NA,""369233"",""377822"",""206385"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
